date,state,parlimen,sex,age,ethnicity,population
2022-01-01,Kedah,P.005 Jerlun,both,overall,citizen,66.7
2022-01-01,Kedah,P.005 Jerlun,both,overall,noncitizen,0.6
2022-01-01,Kedah,P.005 Jerlun,female,overall,overall,34.0
2022-01-01,Kedah,P.005 Jerlun,male,overall,overall,33.3
2020-01-01,Kedah,P.006 Kubang Pasu,both,overall,overall,171.375
2020-01-01,Kedah,P.006 Kubang Pasu,both,overall,citizen,165.147
2020-01-01,Kedah,P.006 Kubang Pasu,both,overall,noncitizen,6.228
2020-01-01,Kedah,P.006 Kubang Pasu,female,overall,overall,86.979
2020-01-01,Kedah,P.006 Kubang Pasu,male,overall,overall,84.396
2021-01-01,Kedah,P.006 Kubang Pasu,both,overall,overall,173.0
2021-01-01,Kedah,P.006 Kubang Pasu,both,overall,citizen,167.1
2021-01-01,Kedah,P.006 Kubang Pasu,both,overall,noncitizen,5.9
2021-01-01,Kedah,P.006 Kubang Pasu,female,overall,overall,87.9
2021-01-01,Kedah,P.006 Kubang Pasu,male,overall,overall,85.1
2022-01-01,Kedah,P.006 Kubang Pasu,both,overall,overall,174.6
2022-01-01,Kedah,P.006 Kubang Pasu,both,overall,citizen,168.9
2022-01-01,Kedah,P.006 Kubang Pasu,both,overall,noncitizen,5.7
2022-01-01,Kedah,P.006 Kubang Pasu,female,overall,overall,88.8
2022-01-01,Kedah,P.006 Kubang Pasu,male,overall,overall,85.7
2020-01-01,Kedah,P.007 Padang Terap,both,overall,overall,65.986
2020-01-01,Kedah,P.007 Padang Terap,both,overall,citizen,62.672
2020-01-01,Kedah,P.007 Padang Terap,both,overall,noncitizen,3.314
2020-01-01,Kedah,P.007 Padang Terap,female,overall,overall,31.624
2020-01-01,Kedah,P.007 Padang Terap,male,overall,overall,34.362
2021-01-01,Kedah,P.007 Padang Terap,both,overall,overall,66.6
2021-01-01,Kedah,P.007 Padang Terap,both,overall,citizen,63.5
2021-01-01,Kedah,P.007 Padang Terap,both,overall,noncitizen,3.1
2021-01-01,Kedah,P.007 Padang Terap,female,overall,overall,32.0
2021-01-01,Kedah,P.007 Padang Terap,male,overall,overall,34.6
2022-01-01,Kedah,P.007 Padang Terap,both,overall,overall,67.2
2022-01-01,Kedah,P.007 Padang Terap,both,overall,citizen,64.2
2022-01-01,Kedah,P.007 Padang Terap,both,overall,noncitizen,3.0
2022-01-01,Kedah,P.007 Padang Terap,female,overall,overall,32.299
2022-01-01,Kedah,P.007 Padang Terap,male,overall,overall,34.9
2020-01-01,Kedah,P.008 Pokok Sena,both,overall,overall,133.057
2020-01-01,Kedah,P.008 Pokok Sena,both,overall,citizen,128.272
2020-01-01,Kedah,P.008 Pokok Sena,both,overall,noncitizen,4.785
2020-01-01,Kedah,P.008 Pokok Sena,female,overall,overall,64.693
2020-01-01,Kedah,P.008 Pokok Sena,male,overall,overall,68.364
2021-01-01,Kedah,P.008 Pokok Sena,both,overall,overall,134.3
2021-01-01,Kedah,P.008 Pokok Sena,both,overall,citizen,129.8
2021-01-01,Kedah,P.008 Pokok Sena,both,overall,noncitizen,4.5
2021-01-01,Kedah,P.008 Pokok Sena,female,overall,overall,65.4
2021-01-01,Kedah,P.008 Pokok Sena,male,overall,overall,68.9
2022-01-01,Kedah,P.008 Pokok Sena,both,overall,overall,135.5
2022-01-01,Kedah,P.008 Pokok Sena,both,overall,citizen,131.1
2022-01-01,Kedah,P.008 Pokok Sena,both,overall,noncitizen,4.4
2022-01-01,Kedah,P.008 Pokok Sena,female,overall,overall,66.1
2022-01-01,Kedah,P.008 Pokok Sena,male,overall,overall,69.4
2020-01-01,Kedah,P.009 Alor Setar,both,overall,overall,119.01
2020-01-01,Kedah,P.009 Alor Setar,both,overall,citizen,112.474
2020-01-01,Kedah,P.009 Alor Setar,both,overall,noncitizen,6.536
2020-01-01,Kedah,P.009 Alor Setar,female,overall,overall,60.147
2020-01-01,Kedah,P.009 Alor Setar,male,overall,overall,58.863
2021-01-01,Kedah,P.009 Alor Setar,both,overall,overall,120.1
2021-01-01,Kedah,P.009 Alor Setar,both,overall,citizen,113.9
2021-01-01,Kedah,P.009 Alor Setar,both,overall,noncitizen,6.2
2021-01-01,Kedah,P.009 Alor Setar,female,overall,overall,60.8
2021-01-01,Kedah,P.009 Alor Setar,male,overall,overall,59.3
2022-01-01,Kedah,P.009 Alor Setar,both,overall,overall,121.2
2022-01-01,Kedah,P.009 Alor Setar,both,overall,citizen,115.2
2022-01-01,Kedah,P.009 Alor Setar,both,overall,noncitizen,6.0
2022-01-01,Kedah,P.009 Alor Setar,female,overall,overall,61.4
2022-01-01,Kedah,P.009 Alor Setar,male,overall,overall,59.8
2020-01-01,Kedah,P.010 Kuala Kedah,both,overall,overall,172.099
2020-01-01,Kedah,P.010 Kuala Kedah,both,overall,citizen,167.709
2020-01-01,Kedah,P.010 Kuala Kedah,both,overall,noncitizen,4.39
2020-01-01,Kedah,P.010 Kuala Kedah,female,overall,overall,85.839
2020-01-01,Kedah,P.010 Kuala Kedah,male,overall,overall,86.26
2021-01-01,Kedah,P.010 Kuala Kedah,both,overall,overall,173.7
2021-01-01,Kedah,P.010 Kuala Kedah,both,overall,citizen,169.6
2021-01-01,Kedah,P.010 Kuala Kedah,both,overall,noncitizen,4.2
2021-01-01,Kedah,P.010 Kuala Kedah,female,overall,overall,86.8
2021-01-01,Kedah,P.010 Kuala Kedah,male,overall,overall,86.9
2022-01-01,Kedah,P.010 Kuala Kedah,both,overall,overall,175.3
2022-01-01,Kedah,P.010 Kuala Kedah,both,overall,citizen,171.3
2022-01-01,Kedah,P.010 Kuala Kedah,both,overall,noncitizen,4.0
2022-01-01,Kedah,P.010 Kuala Kedah,female,overall,overall,87.7
2022-01-01,Kedah,P.010 Kuala Kedah,male,overall,overall,87.6
2020-01-01,Kedah,P.011 Pendang,both,overall,overall,99.363
2020-01-01,Kedah,P.011 Pendang,both,overall,citizen,97.451
2020-01-01,Kedah,P.011 Pendang,both,overall,noncitizen,1.912
2020-01-01,Kedah,P.011 Pendang,female,overall,overall,46.69
2020-01-01,Kedah,P.011 Pendang,male,overall,overall,52.673
2021-01-01,Kedah,P.011 Pendang,both,overall,overall,100.3
2021-01-01,Kedah,P.011 Pendang,both,overall,citizen,98.5
2021-01-01,Kedah,P.011 Pendang,both,overall,noncitizen,1.8
2021-01-01,Kedah,P.011 Pendang,female,overall,overall,47.2
2021-01-01,Kedah,P.011 Pendang,male,overall,overall,53.1
2022-01-01,Kedah,P.011 Pendang,both,overall,overall,101.2
2022-01-01,Kedah,P.011 Pendang,both,overall,citizen,99.5
2022-01-01,Kedah,P.011 Pendang,both,overall,noncitizen,1.7
2022-01-01,Kedah,P.011 Pendang,female,overall,overall,47.7
2022-01-01,Kedah,P.011 Pendang,male,overall,overall,53.5
2020-01-01,Kedah,P.012 Jerai,both,overall,overall,126.2
2020-01-01,Kedah,P.012 Jerai,both,overall,citizen,124.62
2020-01-01,Kedah,P.012 Jerai,both,overall,noncitizen,1.58
2020-01-01,Kedah,P.012 Jerai,female,overall,overall,62.203
2020-01-01,Kedah,P.012 Jerai,male,overall,overall,63.997
2021-01-01,Kedah,P.012 Jerai,both,overall,overall,127.4
2021-01-01,Kedah,P.012 Jerai,both,overall,citizen,125.9
2021-01-01,Kedah,P.012 Jerai,both,overall,noncitizen,1.5
2021-01-01,Kedah,P.012 Jerai,female,overall,overall,62.9
2021-01-01,Kedah,P.012 Jerai,male,overall,overall,64.5
2022-01-01,Kedah,P.012 Jerai,both,overall,overall,128.5
2022-01-01,Kedah,P.012 Jerai,both,overall,citizen,127.1
2022-01-01,Kedah,P.012 Jerai,both,overall,noncitizen,1.4
2022-01-01,Kedah,P.012 Jerai,female,overall,overall,63.5
2022-01-01,Kedah,P.012 Jerai,male,overall,overall,65.0
2020-01-01,Kedah,P.013 Sik,both,overall,overall,67.64
2020-01-01,Kedah,P.013 Sik,both,overall,citizen,65.525
2020-01-01,Kedah,P.013 Sik,both,overall,noncitizen,2.115
2020-01-01,Kedah,P.013 Sik,female,overall,overall,33.102
2020-01-01,Kedah,P.013 Sik,male,overall,overall,34.538
2021-01-01,Kedah,P.013 Sik,both,overall,overall,68.3
2021-01-01,Kedah,P.013 Sik,both,overall,citizen,66.3
2021-01-01,Kedah,P.013 Sik,both,overall,noncitizen,2.0
2021-01-01,Kedah,P.013 Sik,female,overall,overall,33.5
2021-01-01,Kedah,P.013 Sik,male,overall,overall,34.8
2022-01-01,Kedah,P.013 Sik,both,overall,overall,68.9
2022-01-01,Kedah,P.013 Sik,both,overall,citizen,67.0
2022-01-01,Kedah,P.013 Sik,both,overall,noncitizen,1.9
2022-01-01,Kedah,P.013 Sik,female,overall,overall,33.8
2022-01-01,Kedah,P.013 Sik,male,overall,overall,35.1
2020-01-01,Kedah,P.014 Merbok,both,overall,overall,216.357
2020-01-01,Kedah,P.014 Merbok,both,overall,citizen,204.839
2020-01-01,Kedah,P.014 Merbok,both,overall,noncitizen,11.518
2020-01-01,Kedah,P.014 Merbok,female,overall,overall,105.631
2020-01-01,Kedah,P.014 Merbok,male,overall,overall,110.726
2021-01-01,Kedah,P.014 Merbok,both,overall,overall,218.4
2021-01-01,Kedah,P.014 Merbok,both,overall,citizen,207.5
2021-01-01,Kedah,P.014 Merbok,both,overall,noncitizen,11.0
2021-01-01,Kedah,P.014 Merbok,female,overall,overall,106.8
2021-01-01,Kedah,P.014 Merbok,male,overall,overall,111.6
2022-01-01,Kedah,P.014 Merbok,both,overall,overall,220.4
2022-01-01,Kedah,P.014 Merbok,both,overall,citizen,209.8
2022-01-01,Kedah,P.014 Merbok,both,overall,noncitizen,10.6
2022-01-01,Kedah,P.014 Merbok,female,overall,overall,107.9
2022-01-01,Kedah,P.014 Merbok,male,overall,overall,112.4
2020-01-01,Kedah,P.015 Sungai Petani,both,overall,overall,275.439
2020-01-01,Kedah,P.015 Sungai Petani,both,overall,citizen,252.746
2020-01-01,Kedah,P.015 Sungai Petani,both,overall,noncitizen,22.693
2020-01-01,Kedah,P.015 Sungai Petani,female,overall,overall,132.609
2020-01-01,Kedah,P.015 Sungai Petani,male,overall,overall,142.83
2021-01-01,Kedah,P.015 Sungai Petani,both,overall,overall,278.1
2021-01-01,Kedah,P.015 Sungai Petani,both,overall,citizen,256.399
2021-01-01,Kedah,P.015 Sungai Petani,both,overall,noncitizen,21.7
2021-01-01,Kedah,P.015 Sungai Petani,female,overall,overall,134.1
2021-01-01,Kedah,P.015 Sungai Petani,male,overall,overall,143.9
2022-01-01,Kedah,P.015 Sungai Petani,both,overall,overall,280.5
2022-01-01,Kedah,P.015 Sungai Petani,both,overall,citizen,259.5
2022-01-01,Kedah,P.015 Sungai Petani,both,overall,noncitizen,21.0
2022-01-01,Kedah,P.015 Sungai Petani,female,overall,overall,135.5
2022-01-01,Kedah,P.015 Sungai Petani,male,overall,overall,145.1
2020-01-01,Kedah,P.016 Baling,both,overall,overall,142.53
2020-01-01,Kedah,P.016 Baling,both,overall,citizen,139.748
2020-01-01,Kedah,P.016 Baling,both,overall,noncitizen,2.782
2020-01-01,Kedah,P.016 Baling,female,overall,overall,69.541
2020-01-01,Kedah,P.016 Baling,male,overall,overall,72.989
2021-01-01,Kedah,P.016 Baling,both,overall,overall,143.9
2021-01-01,Kedah,P.016 Baling,both,overall,citizen,141.2
2021-01-01,Kedah,P.016 Baling,both,overall,noncitizen,2.6
2021-01-01,Kedah,P.016 Baling,female,overall,overall,70.3
2021-01-01,Kedah,P.016 Baling,male,overall,overall,73.6
2022-01-01,Kedah,P.016 Baling,both,overall,overall,145.2
2022-01-01,Kedah,P.016 Baling,both,overall,citizen,142.6
2022-01-01,Kedah,P.016 Baling,both,overall,noncitizen,2.5
2022-01-01,Kedah,P.016 Baling,female,overall,overall,71.0
2022-01-01,Kedah,P.016 Baling,male,overall,overall,74.1
2020-01-01,Kedah,P.017 Padang Serai,both,overall,overall,261.937
2020-01-01,Kedah,P.017 Padang Serai,both,overall,citizen,245.829
2020-01-01,Kedah,P.017 Padang Serai,both,overall,noncitizen,16.108
2020-01-01,Kedah,P.017 Padang Serai,female,overall,overall,127.532
2020-01-01,Kedah,P.017 Padang Serai,male,overall,overall,134.405
2021-01-01,Kedah,P.017 Padang Serai,both,overall,overall,264.4
2021-01-01,Kedah,P.017 Padang Serai,both,overall,citizen,249.1
2021-01-01,Kedah,P.017 Padang Serai,both,overall,noncitizen,15.3
2021-01-01,Kedah,P.017 Padang Serai,female,overall,overall,129.0
2021-01-01,Kedah,P.017 Padang Serai,male,overall,overall,135.4
2022-01-01,Kedah,P.017 Padang Serai,both,overall,overall,266.8
2022-01-01,Kedah,P.017 Padang Serai,both,overall,citizen,251.9
2022-01-01,Kedah,P.017 Padang Serai,both,overall,noncitizen,14.8
2022-01-01,Kedah,P.017 Padang Serai,female,overall,overall,130.3
2022-01-01,Kedah,P.017 Padang Serai,male,overall,overall,136.5
2020-01-01,Kedah,P.018 Kulim-Bandar Baharu,both,overall,overall,120.21
2020-01-01,Kedah,P.018 Kulim-Bandar Baharu,both,overall,citizen,115.626
2020-01-01,Kedah,P.018 Kulim-Bandar Baharu,both,overall,noncitizen,4.584
2020-01-01,Kedah,P.018 Kulim-Bandar Baharu,female,overall,overall,58.798
2020-01-01,Kedah,P.018 Kulim-Bandar Baharu,male,overall,overall,61.412
2021-01-01,Kedah,P.018 Kulim-Bandar Baharu,both,overall,overall,121.4
2021-01-01,Kedah,P.018 Kulim-Bandar Baharu,both,overall,citizen,117.0
2021-01-01,Kedah,P.018 Kulim-Bandar Baharu,both,overall,noncitizen,4.4
2021-01-01,Kedah,P.018 Kulim-Bandar Baharu,female,overall,overall,59.5
2021-01-01,Kedah,P.018 Kulim-Bandar Baharu,male,overall,overall,61.9
2022-01-01,Kedah,P.018 Kulim-Bandar Baharu,both,overall,overall,122.4
2022-01-01,Kedah,P.018 Kulim-Bandar Baharu,both,overall,citizen,118.2
2022-01-01,Kedah,P.018 Kulim-Bandar Baharu,both,overall,noncitizen,4.2
2022-01-01,Kedah,P.018 Kulim-Bandar Baharu,female,overall,overall,60.1
2022-01-01,Kedah,P.018 Kulim-Bandar Baharu,male,overall,overall,62.4
2020-01-01,Kelantan,P.019 Tumpat,both,overall,overall,179.944
2020-01-01,Kelantan,P.019 Tumpat,both,overall,citizen,178.503
2020-01-01,Kelantan,P.019 Tumpat,both,overall,noncitizen,1.441
2020-01-01,Kelantan,P.019 Tumpat,female,overall,overall,90.751
2020-01-01,Kelantan,P.019 Tumpat,male,overall,overall,89.193
2021-01-01,Kelantan,P.019 Tumpat,both,overall,overall,181.9
2021-01-01,Kelantan,P.019 Tumpat,both,overall,citizen,180.5
2021-01-01,Kelantan,P.019 Tumpat,both,overall,noncitizen,1.4
2021-01-01,Kelantan,P.019 Tumpat,female,overall,overall,91.8
2021-01-01,Kelantan,P.019 Tumpat,male,overall,overall,90.1
2022-01-01,Kelantan,P.019 Tumpat,both,overall,overall,183.6
2022-01-01,Kelantan,P.019 Tumpat,both,overall,citizen,182.3
2022-01-01,Kelantan,P.019 Tumpat,both,overall,noncitizen,1.4
2022-01-01,Kelantan,P.019 Tumpat,female,overall,overall,92.7
2022-01-01,Kelantan,P.019 Tumpat,male,overall,overall,90.9
2020-01-01,Kelantan,P.020 Pengkalan Chepa,both,overall,overall,159.674
2020-01-01,Kelantan,P.020 Pengkalan Chepa,both,overall,citizen,156.186
2020-01-01,Kelantan,P.020 Pengkalan Chepa,both,overall,noncitizen,3.488
2020-01-01,Kelantan,P.020 Pengkalan Chepa,female,overall,overall,79.569
2020-01-01,Kelantan,P.020 Pengkalan Chepa,male,overall,overall,80.105
2021-01-01,Kelantan,P.020 Pengkalan Chepa,both,overall,overall,161.4
2021-01-01,Kelantan,P.020 Pengkalan Chepa,both,overall,citizen,158.0
2021-01-01,Kelantan,P.020 Pengkalan Chepa,both,overall,noncitizen,3.5
2021-01-01,Kelantan,P.020 Pengkalan Chepa,female,overall,overall,80.5
2021-01-01,Kelantan,P.020 Pengkalan Chepa,male,overall,overall,81.0
2022-01-01,Kelantan,P.020 Pengkalan Chepa,both,overall,overall,163.0
2022-01-01,Kelantan,P.020 Pengkalan Chepa,both,overall,citizen,159.7
2022-01-01,Kelantan,P.020 Pengkalan Chepa,both,overall,noncitizen,3.2
2022-01-01,Kelantan,P.020 Pengkalan Chepa,female,overall,overall,81.3
2022-01-01,Kelantan,P.020 Pengkalan Chepa,male,overall,overall,81.7
2020-01-01,Kelantan,P.021 Kota Bharu,both,overall,overall,130.801
2020-01-01,Kelantan,P.021 Kota Bharu,both,overall,citizen,127.817
2020-01-01,Kelantan,P.021 Kota Bharu,both,overall,noncitizen,2.984
2020-01-01,Kelantan,P.021 Kota Bharu,female,overall,overall,67.831
2020-01-01,Kelantan,P.021 Kota Bharu,male,overall,overall,62.97
2021-01-01,Kelantan,P.021 Kota Bharu,both,overall,overall,132.2
2021-01-01,Kelantan,P.021 Kota Bharu,both,overall,citizen,129.3
2021-01-01,Kelantan,P.021 Kota Bharu,both,overall,noncitizen,3.0
2021-01-01,Kelantan,P.021 Kota Bharu,female,overall,overall,68.6
2021-01-01,Kelantan,P.021 Kota Bharu,male,overall,overall,63.6
2022-01-01,Kelantan,P.021 Kota Bharu,both,overall,overall,133.5
2022-01-01,Kelantan,P.021 Kota Bharu,both,overall,citizen,130.699
2022-01-01,Kelantan,P.021 Kota Bharu,both,overall,noncitizen,2.8
2022-01-01,Kelantan,P.021 Kota Bharu,female,overall,overall,69.3
2022-01-01,Kelantan,P.021 Kota Bharu,male,overall,overall,64.2
2020-01-01,Kelantan,P.022 Pasir Mas,both,overall,overall,113.476
2020-01-01,Kelantan,P.022 Pasir Mas,both,overall,citizen,112.738
2020-01-01,Kelantan,P.022 Pasir Mas,both,overall,noncitizen,0.738
2020-01-01,Kelantan,P.022 Pasir Mas,female,overall,overall,56.099
2020-01-01,Kelantan,P.022 Pasir Mas,male,overall,overall,57.377
2021-01-01,Kelantan,P.022 Pasir Mas,both,overall,overall,114.7
2021-01-01,Kelantan,P.022 Pasir Mas,both,overall,citizen,114.0
2021-01-01,Kelantan,P.022 Pasir Mas,both,overall,noncitizen,0.7
2021-01-01,Kelantan,P.022 Pasir Mas,female,overall,overall,56.7
2021-01-01,Kelantan,P.022 Pasir Mas,male,overall,overall,58.0
2022-01-01,Kelantan,P.022 Pasir Mas,both,overall,overall,115.8
2022-01-01,Kelantan,P.022 Pasir Mas,both,overall,citizen,115.1
2022-01-01,Kelantan,P.022 Pasir Mas,both,overall,noncitizen,0.7
2022-01-01,Kelantan,P.022 Pasir Mas,female,overall,overall,57.3
2022-01-01,Kelantan,P.022 Pasir Mas,male,overall,overall,58.5
2020-01-01,Kelantan,P.023 Rantau Panjang,both,overall,overall,116.948
2020-01-01,Kelantan,P.023 Rantau Panjang,both,overall,citizen,115.16
2020-01-01,Kelantan,P.023 Rantau Panjang,both,overall,noncitizen,1.788
2020-01-01,Kelantan,P.023 Rantau Panjang,female,overall,overall,57.569
2020-01-01,Kelantan,P.023 Rantau Panjang,male,overall,overall,59.379
2021-01-01,Kelantan,P.023 Rantau Panjang,both,overall,overall,118.2
2021-01-01,Kelantan,P.023 Rantau Panjang,both,overall,citizen,116.5
2021-01-01,Kelantan,P.023 Rantau Panjang,both,overall,noncitizen,1.8
2021-01-01,Kelantan,P.023 Rantau Panjang,female,overall,overall,58.2
2021-01-01,Kelantan,P.023 Rantau Panjang,male,overall,overall,60.0
2022-01-01,Kelantan,P.023 Rantau Panjang,both,overall,overall,119.4
2022-01-01,Kelantan,P.023 Rantau Panjang,both,overall,citizen,117.7
2022-01-01,Kelantan,P.023 Rantau Panjang,both,overall,noncitizen,1.7
2022-01-01,Kelantan,P.023 Rantau Panjang,female,overall,overall,58.8
2022-01-01,Kelantan,P.023 Rantau Panjang,male,overall,overall,60.5
2020-01-01,Kelantan,P.024 Kubang Kerian,both,overall,overall,156.627
2020-01-01,Kelantan,P.024 Kubang Kerian,both,overall,citizen,153.437
2020-01-01,Kelantan,P.024 Kubang Kerian,both,overall,noncitizen,3.19
2020-01-01,Kelantan,P.024 Kubang Kerian,female,overall,overall,78.577
2020-01-01,Kelantan,P.024 Kubang Kerian,male,overall,overall,78.05
2021-01-01,Kelantan,P.024 Kubang Kerian,both,overall,overall,158.4
2021-01-01,Kelantan,P.024 Kubang Kerian,both,overall,citizen,155.2
2021-01-01,Kelantan,P.024 Kubang Kerian,both,overall,noncitizen,3.2
2021-01-01,Kelantan,P.024 Kubang Kerian,female,overall,overall,79.5
2021-01-01,Kelantan,P.024 Kubang Kerian,male,overall,overall,78.9
2022-01-01,Kelantan,P.024 Kubang Kerian,both,overall,overall,159.8
2022-01-01,Kelantan,P.024 Kubang Kerian,both,overall,citizen,156.9
2022-01-01,Kelantan,P.024 Kubang Kerian,both,overall,noncitizen,3.0
2022-01-01,Kelantan,P.024 Kubang Kerian,female,overall,overall,80.3
2022-01-01,Kelantan,P.024 Kubang Kerian,male,overall,overall,79.6
2020-01-01,Kelantan,P.025 Bachok,both,overall,overall,157.291
2020-01-01,Kelantan,P.025 Bachok,both,overall,citizen,156.13
2020-01-01,Kelantan,P.025 Bachok,both,overall,noncitizen,1.161
2020-01-01,Kelantan,P.025 Bachok,female,overall,overall,81.079
2020-01-01,Kelantan,P.025 Bachok,male,overall,overall,76.212
2021-01-01,Kelantan,P.025 Bachok,both,overall,overall,159.0
2021-01-01,Kelantan,P.025 Bachok,both,overall,citizen,157.9
2021-01-01,Kelantan,P.025 Bachok,both,overall,noncitizen,1.2
2021-01-01,Kelantan,P.025 Bachok,female,overall,overall,82.0
2021-01-01,Kelantan,P.025 Bachok,male,overall,overall,77.0
2022-01-01,Kelantan,P.025 Bachok,both,overall,overall,160.5
2022-01-01,Kelantan,P.025 Bachok,both,overall,citizen,159.4
2022-01-01,Kelantan,P.025 Bachok,both,overall,noncitizen,1.1
2022-01-01,Kelantan,P.025 Bachok,female,overall,overall,82.8
2022-01-01,Kelantan,P.025 Bachok,male,overall,overall,77.7
2020-01-01,Kelantan,P.026 Ketereh,both,overall,overall,108.448
2020-01-01,Kelantan,P.026 Ketereh,both,overall,citizen,106.888
2020-01-01,Kelantan,P.026 Ketereh,both,overall,noncitizen,1.56
2020-01-01,Kelantan,P.026 Ketereh,female,overall,overall,51.861
2020-01-01,Kelantan,P.026 Ketereh,male,overall,overall,56.587
2021-01-01,Kelantan,P.026 Ketereh,both,overall,overall,109.6
2021-01-01,Kelantan,P.026 Ketereh,both,overall,citizen,108.1
2021-01-01,Kelantan,P.026 Ketereh,both,overall,noncitizen,1.5
2021-01-01,Kelantan,P.026 Ketereh,female,overall,overall,52.5
2021-01-01,Kelantan,P.026 Ketereh,male,overall,overall,57.2
2022-01-01,Kelantan,P.026 Ketereh,both,overall,overall,110.7
