date,state,parlimen,dun,sex,age,ethnicity,population
2020-01-01,Perlis,P.001 Padang Besar,N.04 Mata Ayer,male,overall,overall,6.024
2021-01-01,Perlis,P.001 Padang Besar,N.04 Mata Ayer,both,overall,overall,12.0
2021-01-01,Perlis,P.001 Padang Besar,N.04 Mata Ayer,both,overall,citizen,11.9
2021-01-01,Perlis,P.001 Padang Besar,N.04 Mata Ayer,both,overall,noncitizen,0.1
2021-01-01,Perlis,P.001 Padang Besar,N.04 Mata Ayer,female,overall,overall,5.9
2021-01-01,Perlis,P.001 Padang Besar,N.04 Mata Ayer,male,overall,overall,6.1
2022-01-01,Perlis,P.001 Padang Besar,N.04 Mata Ayer,both,overall,overall,12.1
2022-01-01,Perlis,P.001 Padang Besar,N.04 Mata Ayer,both,overall,citizen,12.0
2022-01-01,Perlis,P.001 Padang Besar,N.04 Mata Ayer,both,overall,noncitizen,0.1
2022-01-01,Perlis,P.001 Padang Besar,N.04 Mata Ayer,female,overall,overall,6.0
2022-01-01,Perlis,P.001 Padang Besar,N.04 Mata Ayer,male,overall,overall,6.1
2020-01-01,Perlis,P.001 Padang Besar,N.05 Santan,both,overall,overall,13.851
2020-01-01,Perlis,P.001 Padang Besar,N.05 Santan,both,overall,citizen,13.636
2020-01-01,Perlis,P.001 Padang Besar,N.05 Santan,both,overall,noncitizen,0.215
2020-01-01,Perlis,P.001 Padang Besar,N.05 Santan,female,overall,overall,6.968
2020-01-01,Perlis,P.001 Padang Besar,N.05 Santan,male,overall,overall,6.883
2021-01-01,Perlis,P.001 Padang Besar,N.05 Santan,both,overall,overall,14.0
2021-01-01,Perlis,P.001 Padang Besar,N.05 Santan,both,overall,citizen,13.7
2021-01-01,Perlis,P.001 Padang Besar,N.05 Santan,both,overall,noncitizen,0.2
2021-01-01,Perlis,P.001 Padang Besar,N.05 Santan,female,overall,overall,7.0
2021-01-01,Perlis,P.001 Padang Besar,N.05 Santan,male,overall,overall,6.9
2022-01-01,Perlis,P.001 Padang Besar,N.05 Santan,both,overall,overall,14.1
2022-01-01,Perlis,P.001 Padang Besar,N.05 Santan,both,overall,citizen,13.8
2022-01-01,Perlis,P.001 Padang Besar,N.05 Santan,both,overall,noncitizen,0.3
2022-01-01,Perlis,P.001 Padang Besar,N.05 Santan,female,overall,overall,7.1
2022-01-01,Perlis,P.001 Padang Besar,N.05 Santan,male,overall,overall,7.0
2020-01-01,Perlis,P.002 Kangar,N.06 Bintong,both,overall,overall,28.003
2020-01-01,Perlis,P.002 Kangar,N.06 Bintong,both,overall,citizen,27.392
2020-01-01,Perlis,P.002 Kangar,N.06 Bintong,both,overall,noncitizen,0.611
2020-01-01,Perlis,P.002 Kangar,N.06 Bintong,female,overall,overall,14.194
2020-01-01,Perlis,P.002 Kangar,N.06 Bintong,male,overall,overall,13.809
2021-01-01,Perlis,P.002 Kangar,N.06 Bintong,both,overall,overall,28.3
2021-01-01,Perlis,P.002 Kangar,N.06 Bintong,both,overall,citizen,27.6
2021-01-01,Perlis,P.002 Kangar,N.06 Bintong,both,overall,noncitizen,0.7
2021-01-01,Perlis,P.002 Kangar,N.06 Bintong,female,overall,overall,14.3
2021-01-01,Perlis,P.002 Kangar,N.06 Bintong,male,overall,overall,13.9
2022-01-01,Perlis,P.002 Kangar,N.06 Bintong,both,overall,overall,28.5
2022-01-01,Perlis,P.002 Kangar,N.06 Bintong,both,overall,citizen,27.8
2022-01-01,Perlis,P.002 Kangar,N.06 Bintong,both,overall,noncitizen,0.7
2022-01-01,Perlis,P.002 Kangar,N.06 Bintong,female,overall,overall,14.5
2022-01-01,Perlis,P.002 Kangar,N.06 Bintong,male,overall,overall,14.0
2020-01-01,Perlis,P.002 Kangar,N.07 Sena,both,overall,overall,20.321
2020-01-01,Perlis,P.002 Kangar,N.07 Sena,both,overall,citizen,19.682
2020-01-01,Perlis,P.002 Kangar,N.07 Sena,both,overall,noncitizen,0.639
2020-01-01,Perlis,P.002 Kangar,N.07 Sena,female,overall,overall,10.309
2020-01-01,Perlis,P.002 Kangar,N.07 Sena,male,overall,overall,10.012
2021-01-01,Perlis,P.002 Kangar,N.07 Sena,both,overall,overall,20.5
2021-01-01,Perlis,P.002 Kangar,N.07 Sena,both,overall,citizen,19.8
2021-01-01,Perlis,P.002 Kangar,N.07 Sena,both,overall,noncitizen,0.7
2021-01-01,Perlis,P.002 Kangar,N.07 Sena,female,overall,overall,10.4
2021-01-01,Perlis,P.002 Kangar,N.07 Sena,male,overall,overall,10.1
2022-01-01,Perlis,P.002 Kangar,N.07 Sena,both,overall,overall,20.7
2022-01-01,Perlis,P.002 Kangar,N.07 Sena,both,overall,citizen,19.9
2022-01-01,Perlis,P.002 Kangar,N.07 Sena,both,overall,noncitizen,0.8
2022-01-01,Perlis,P.002 Kangar,N.07 Sena,female,overall,overall,10.5
2022-01-01,Perlis,P.002 Kangar,N.07 Sena,male,overall,overall,10.2
2020-01-01,Perlis,P.002 Kangar,N.08 Indera Kayangan,both,overall,overall,16.419
2020-01-01,Perlis,P.002 Kangar,N.08 Indera Kayangan,both,overall,citizen,16.261
2020-01-01,Perlis,P.002 Kangar,N.08 Indera Kayangan,both,overall,noncitizen,0.158
2020-01-01,Perlis,P.002 Kangar,N.08 Indera Kayangan,female,overall,overall,8.337
2020-01-01,Perlis,P.002 Kangar,N.08 Indera Kayangan,male,overall,overall,8.082
2021-01-01,Perlis,P.002 Kangar,N.08 Indera Kayangan,both,overall,overall,16.6
2021-01-01,Perlis,P.002 Kangar,N.08 Indera Kayangan,both,overall,citizen,16.4
2021-01-01,Perlis,P.002 Kangar,N.08 Indera Kayangan,both,overall,noncitizen,0.2
2021-01-01,Perlis,P.002 Kangar,N.08 Indera Kayangan,female,overall,overall,8.4
2021-01-01,Perlis,P.002 Kangar,N.08 Indera Kayangan,male,overall,overall,8.2
2022-01-01,Perlis,P.002 Kangar,N.08 Indera Kayangan,both,overall,overall,16.7
2022-01-01,Perlis,P.002 Kangar,N.08 Indera Kayangan,both,overall,citizen,16.5
2022-01-01,Perlis,P.002 Kangar,N.08 Indera Kayangan,both,overall,noncitizen,0.2
2022-01-01,Perlis,P.002 Kangar,N.08 Indera Kayangan,female,overall,overall,8.5
2022-01-01,Perlis,P.002 Kangar,N.08 Indera Kayangan,male,overall,overall,8.2
2020-01-01,Perlis,P.002 Kangar,N.09 Kuala Perlis,both,overall,overall,19.88
2020-01-01,Perlis,P.002 Kangar,N.09 Kuala Perlis,both,overall,citizen,19.225
2020-01-01,Perlis,P.002 Kangar,N.09 Kuala Perlis,both,overall,noncitizen,0.655
2020-01-01,Perlis,P.002 Kangar,N.09 Kuala Perlis,female,overall,overall,9.881
2020-01-01,Perlis,P.002 Kangar,N.09 Kuala Perlis,male,overall,overall,9.999
2021-01-01,Perlis,P.002 Kangar,N.09 Kuala Perlis,both,overall,overall,20.1
2021-01-01,Perlis,P.002 Kangar,N.09 Kuala Perlis,both,overall,citizen,19.3
2021-01-01,Perlis,P.002 Kangar,N.09 Kuala Perlis,both,overall,noncitizen,0.7
2021-01-01,Perlis,P.002 Kangar,N.09 Kuala Perlis,female,overall,overall,10.0
2021-01-01,Perlis,P.002 Kangar,N.09 Kuala Perlis,male,overall,overall,10.1
2022-01-01,Perlis,P.002 Kangar,N.09 Kuala Perlis,both,overall,overall,20.2
2022-01-01,Perlis,P.002 Kangar,N.09 Kuala Perlis,both,overall,citizen,19.4
2022-01-01,Perlis,P.002 Kangar,N.09 Kuala Perlis,both,overall,noncitizen,0.8
2022-01-01,Perlis,P.002 Kangar,N.09 Kuala Perlis,female,overall,overall,10.1
2022-01-01,Perlis,P.002 Kangar,N.09 Kuala Perlis,male,overall,overall,10.2
2020-01-01,Perlis,P.002 Kangar,N.10 Kayang,both,overall,overall,16.132
2020-01-01,Perlis,P.002 Kangar,N.10 Kayang,both,overall,citizen,15.919
2020-01-01,Perlis,P.002 Kangar,N.10 Kayang,both,overall,noncitizen,0.213
2020-01-01,Perlis,P.002 Kangar,N.10 Kayang,female,overall,overall,8.159
2020-01-01,Perlis,P.002 Kangar,N.10 Kayang,male,overall,overall,7.973
2021-01-01,Perlis,P.002 Kangar,N.10 Kayang,both,overall,overall,16.3
2021-01-01,Perlis,P.002 Kangar,N.10 Kayang,both,overall,citizen,16.0
2021-01-01,Perlis,P.002 Kangar,N.10 Kayang,both,overall,noncitizen,0.2
2021-01-01,Perlis,P.002 Kangar,N.10 Kayang,female,overall,overall,8.2
2021-01-01,Perlis,P.002 Kangar,N.10 Kayang,male,overall,overall,8.0
2022-01-01,Perlis,P.002 Kangar,N.10 Kayang,both,overall,overall,16.4
2022-01-01,Perlis,P.002 Kangar,N.10 Kayang,both,overall,citizen,16.2
2022-01-01,Perlis,P.002 Kangar,N.10 Kayang,both,overall,noncitizen,0.3
2022-01-01,Perlis,P.002 Kangar,N.10 Kayang,female,overall,overall,8.3
2022-01-01,Perlis,P.002 Kangar,N.10 Kayang,male,overall,overall,8.1
2020-01-01,Perlis,P.003 Arau,N.11 Pauh,both,overall,overall,39.618
2020-01-01,Perlis,P.003 Arau,N.11 Pauh,both,overall,citizen,39.367
2020-01-01,Perlis,P.003 Arau,N.11 Pauh,both,overall,noncitizen,0.251
2020-01-01,Perlis,P.003 Arau,N.11 Pauh,female,overall,overall,20.24
2020-01-01,Perlis,P.003 Arau,N.11 Pauh,male,overall,overall,19.378
2021-01-01,Perlis,P.003 Arau,N.11 Pauh,both,overall,overall,40.0
2021-01-01,Perlis,P.003 Arau,N.11 Pauh,both,overall,citizen,39.7
2021-01-01,Perlis,P.003 Arau,N.11 Pauh,both,overall,noncitizen,0.3
2021-01-01,Perlis,P.003 Arau,N.11 Pauh,female,overall,overall,20.4
2021-01-01,Perlis,P.003 Arau,N.11 Pauh,male,overall,overall,19.5
2022-01-01,Perlis,P.003 Arau,N.11 Pauh,both,overall,overall,40.3
2022-01-01,Perlis,P.003 Arau,N.11 Pauh,both,overall,citizen,40.0
2022-01-01,Perlis,P.003 Arau,N.11 Pauh,both,overall,noncitizen,0.3
2022-01-01,Perlis,P.003 Arau,N.11 Pauh,female,overall,overall,20.6
2022-01-01,Perlis,P.003 Arau,N.11 Pauh,male,overall,overall,19.7
2020-01-01,Perlis,P.003 Arau,N.12 Tambun Tulang,both,overall,overall,20.6
2020-01-01,Perlis,P.003 Arau,N.12 Tambun Tulang,both,overall,citizen,19.663
2020-01-01,Perlis,P.003 Arau,N.12 Tambun Tulang,both,overall,noncitizen,0.937
2020-01-01,Perlis,P.003 Arau,N.12 Tambun Tulang,female,overall,overall,10.392
2020-01-01,Perlis,P.003 Arau,N.12 Tambun Tulang,male,overall,overall,10.208
2021-01-01,Perlis,P.003 Arau,N.12 Tambun Tulang,both,overall,overall,20.8
2021-01-01,Perlis,P.003 Arau,N.12 Tambun Tulang,both,overall,citizen,19.7
2021-01-01,Perlis,P.003 Arau,N.12 Tambun Tulang,both,overall,noncitizen,1.1
2021-01-01,Perlis,P.003 Arau,N.12 Tambun Tulang,female,overall,overall,10.5
2021-01-01,Perlis,P.003 Arau,N.12 Tambun Tulang,male,overall,overall,10.3
2022-01-01,Perlis,P.003 Arau,N.12 Tambun Tulang,both,overall,overall,21.0
2022-01-01,Perlis,P.003 Arau,N.12 Tambun Tulang,both,overall,citizen,19.8
2022-01-01,Perlis,P.003 Arau,N.12 Tambun Tulang,both,overall,noncitizen,1.1
2022-01-01,Perlis,P.003 Arau,N.12 Tambun Tulang,female,overall,overall,10.6
2022-01-01,Perlis,P.003 Arau,N.12 Tambun Tulang,male,overall,overall,10.4
2020-01-01,Perlis,P.003 Arau,N.13 Guar Sanji,both,overall,overall,12.171
2020-01-01,Perlis,P.003 Arau,N.13 Guar Sanji,both,overall,citizen,12.073
2020-01-01,Perlis,P.003 Arau,N.13 Guar Sanji,both,overall,noncitizen,0.098
2020-01-01,Perlis,P.003 Arau,N.13 Guar Sanji,female,overall,overall,6.123
2020-01-01,Perlis,P.003 Arau,N.13 Guar Sanji,male,overall,overall,6.048
2021-01-01,Perlis,P.003 Arau,N.13 Guar Sanji,both,overall,overall,12.3
2021-01-01,Perlis,P.003 Arau,N.13 Guar Sanji,both,overall,citizen,12.2
2021-01-01,Perlis,P.003 Arau,N.13 Guar Sanji,both,overall,noncitizen,0.1
2021-01-01,Perlis,P.003 Arau,N.13 Guar Sanji,female,overall,overall,6.2
2021-01-01,Perlis,P.003 Arau,N.13 Guar Sanji,male,overall,overall,6.1
2022-01-01,Perlis,P.003 Arau,N.13 Guar Sanji,both,overall,overall,12.4
2022-01-01,Perlis,P.003 Arau,N.13 Guar Sanji,both,overall,citizen,12.3
2022-01-01,Perlis,P.003 Arau,N.13 Guar Sanji,both,overall,noncitizen,0.1
2022-01-01,Perlis,P.003 Arau,N.13 Guar Sanji,female,overall,overall,6.2
2022-01-01,Perlis,P.003 Arau,N.13 Guar Sanji,male,overall,overall,6.1
2020-01-01,Perlis,P.003 Arau,N.14 Simpang Empat,both,overall,overall,14.694
2020-01-01,Perlis,P.003 Arau,N.14 Simpang Empat,both,overall,citizen,14.591
2020-01-01,Perlis,P.003 Arau,N.14 Simpang Empat,both,overall,noncitizen,0.103
2020-01-01,Perlis,P.003 Arau,N.14 Simpang Empat,female,overall,overall,7.464
2020-01-01,Perlis,P.003 Arau,N.14 Simpang Empat,male,overall,overall,7.23
2021-01-01,Perlis,P.003 Arau,N.14 Simpang Empat,both,overall,overall,14.8
2021-01-01,Perlis,P.003 Arau,N.14 Simpang Empat,both,overall,citizen,14.7
2021-01-01,Perlis,P.003 Arau,N.14 Simpang Empat,both,overall,noncitizen,0.1
2021-01-01,Perlis,P.003 Arau,N.14 Simpang Empat,female,overall,overall,7.5
2021-01-01,Perlis,P.003 Arau,N.14 Simpang Empat,male,overall,overall,7.3
2022-01-01,Perlis,P.003 Arau,N.14 Simpang Empat,both,overall,overall,14.9
2022-01-01,Perlis,P.003 Arau,N.14 Simpang Empat,both,overall,citizen,14.8
2022-01-01,Perlis,P.003 Arau,N.14 Simpang Empat,both,overall,noncitizen,0.1
2022-01-01,Perlis,P.003 Arau,N.14 Simpang Empat,female,overall,overall,7.6
2022-01-01,Perlis,P.003 Arau,N.14 Simpang Empat,male,overall,overall,7.3
2020-01-01,Perlis,P.003 Arau,N.15 Sanglang,both,overall,overall,10.249
2020-01-01,Perlis,P.003 Arau,N.15 Sanglang,both,overall,citizen,10.208
2020-01-01,Perlis,P.003 Arau,N.15 Sanglang,both,overall,noncitizen,0.041
2020-01-01,Perlis,P.003 Arau,N.15 Sanglang,female,overall,overall,5.13
2020-01-01,Perlis,P.003 Arau,N.15 Sanglang,male,overall,overall,5.119
2021-01-01,Perlis,P.003 Arau,N.15 Sanglang,both,overall,overall,10.3
2021-01-01,Perlis,P.003 Arau,N.15 Sanglang,both,overall,citizen,10.3
2021-01-01,Perlis,P.003 Arau,N.15 Sanglang,both,overall,noncitizen,0.0
2021-01-01,Perlis,P.003 Arau,N.15 Sanglang,female,overall,overall,5.2
2021-01-01,Perlis,P.003 Arau,N.15 Sanglang,male,overall,overall,5.2
2022-01-01,Perlis,P.003 Arau,N.15 Sanglang,both,overall,overall,10.4
2022-01-01,Perlis,P.003 Arau,N.15 Sanglang,both,overall,citizen,10.4
2022-01-01,Perlis,P.003 Arau,N.15 Sanglang,both,overall,noncitizen,0.0
2022-01-01,Perlis,P.003 Arau,N.15 Sanglang,female,overall,overall,5.2
2022-01-01,Perlis,P.003 Arau,N.15 Sanglang,male,overall,overall,5.2
2020-01-01,Kedah,P.004 Langkawi,N.01 Ayer Hangat,both,overall,overall,44.555
2020-01-01,Kedah,P.004 Langkawi,N.01 Ayer Hangat,both,overall,citizen,42.117
2020-01-01,Kedah,P.004 Langkawi,N.01 Ayer Hangat,both,overall,noncitizen,2.438
2020-01-01,Kedah,P.004 Langkawi,N.01 Ayer Hangat,female,overall,overall,21.26
2020-01-01,Kedah,P.004 Langkawi,N.01 Ayer Hangat,male,overall,overall,23.295
2021-01-01,Kedah,P.004 Langkawi,N.01 Ayer Hangat,both,overall,overall,45.0
2021-01-01,Kedah,P.004 Langkawi,N.01 Ayer Hangat,both,overall,citizen,42.7
2021-01-01,Kedah,P.004 Langkawi,N.01 Ayer Hangat,both,overall,noncitizen,2.3
2021-01-01,Kedah,P.004 Langkawi,N.01 Ayer Hangat,female,overall,overall,21.5
2021-01-01,Kedah,P.004 Langkawi,N.01 Ayer Hangat,male,overall,overall,23.5
2022-01-01,Kedah,P.004 Langkawi,N.01 Ayer Hangat,both,overall,overall,45.4
2022-01-01,Kedah,P.004 Langkawi,N.01 Ayer Hangat,both,overall,citizen,43.1
2022-01-01,Kedah,P.004 Langkawi,N.01 Ayer Hangat,both,overall,noncitizen,2.2
2022-01-01,Kedah,P.004 Langkawi,N.01 Ayer Hangat,female,overall,overall,21.7
2022-01-01,Kedah,P.004 Langkawi,N.01 Ayer Hangat,male,overall,overall,23.7
2020-01-01,Kedah,P.004 Langkawi,N.02 Kuah,both,overall,overall,49.583
2020-01-01,Kedah,P.004 Langkawi,N.02 Kuah,both,overall,citizen,47.898
2020-01-01,Kedah,P.004 Langkawi,N.02 Kuah,both,overall,noncitizen,1.685
2020-01-01,Kedah,P.004 Langkawi,N.02 Kuah,female,overall,overall,24.184
2020-01-01,Kedah,P.004 Langkawi,N.02 Kuah,male,overall,overall,25.399
2021-01-01,Kedah,P.004 Langkawi,N.02 Kuah,both,overall,overall,50.1
2021-01-01,Kedah,P.004 Langkawi,N.02 Kuah,both,overall,citizen,48.5
2021-01-01,Kedah,P.004 Langkawi,N.02 Kuah,both,overall,noncitizen,1.6
2021-01-01,Kedah,P.004 Langkawi,N.02 Kuah,female,overall,overall,24.5
2021-01-01,Kedah,P.004 Langkawi,N.02 Kuah,male,overall,overall,25.6
2022-01-01,Kedah,P.004 Langkawi,N.02 Kuah,both,overall,overall,50.5
2022-01-01,Kedah,P.004 Langkawi,N.02 Kuah,both,overall,citizen,49.0
2022-01-01,Kedah,P.004 Langkawi,N.02 Kuah,both,overall,noncitizen,1.5
2022-01-01,Kedah,P.004 Langkawi,N.02 Kuah,female,overall,overall,24.7
2022-01-01,Kedah,P.004 Langkawi,N.02 Kuah,male,overall,overall,25.8
2020-01-01,Kedah,P.005 Jerlun,N.03 Kota Siputeh,both,overall,overall,32.057
2020-01-01,Kedah,P.005 Jerlun,N.03 Kota Siputeh,both,overall,citizen,31.625
2020-01-01,Kedah,P.005 Jerlun,N.03 Kota Siputeh,both,overall,noncitizen,0.432
2020-01-01,Kedah,P.005 Jerlun,N.03 Kota Siputeh,female,overall,overall,16.182
2020-01-01,Kedah,P.005 Jerlun,N.03 Kota Siputeh,male,overall,overall,15.875
2021-01-01,Kedah,P.005 Jerlun,N.03 Kota Siputeh,both,overall,overall,32.4
2021-01-01,Kedah,P.005 Jerlun,N.03 Kota Siputeh,both,overall,citizen,32.0
2021-01-01,Kedah,P.005 Jerlun,N.03 Kota Siputeh,both,overall,noncitizen,0.4
2021-01-01,Kedah,P.005 Jerlun,N.03 Kota Siputeh,female,overall,overall,16.4
2021-01-01,Kedah,P.005 Jerlun,N.03 Kota Siputeh,male,overall,overall,16.0
2022-01-01,Kedah,P.005 Jerlun,N.03 Kota Siputeh,both,overall,overall,32.7
2022-01-01,Kedah,P.005 Jerlun,N.03 Kota Siputeh,both,overall,citizen,32.299
2022-01-01,Kedah,P.005 Jerlun,N.03 Kota Siputeh,both,overall,noncitizen,0.4
2022-01-01,Kedah,P.005 Jerlun,N.03 Kota Siputeh,female,overall,overall,16.5
2022-01-01,Kedah,P.005 Jerlun,N.03 Kota Siputeh,male,overall,overall,16.1
2020-01-01,Kedah,P.005 Jerlun,N.04 Ayer Hitam,both,overall,overall,34.029
2020-01-01,Kedah,P.005 Jerlun,N.04 Ayer Hitam,both,overall,citizen,33.782
2020-01-01,Kedah,P.005 Jerlun,N.04 Ayer Hitam,both,overall,noncitizen,0.247
2020-01-01,Kedah,P.005 Jerlun,N.04 Ayer Hitam,female,overall,overall,17.127
2020-01-01,Kedah,P.005 Jerlun,N.04 Ayer Hitam,male,overall,overall,16.902
2021-01-01,Kedah,P.005 Jerlun,N.04 Ayer Hitam,both,overall,overall,34.4
2021-01-01,Kedah,P.005 Jerlun,N.04 Ayer Hitam,both,overall,citizen,34.1
2021-01-01,Kedah,P.005 Jerlun,N.04 Ayer Hitam,both,overall,noncitizen,0.2
2021-01-01,Kedah,P.005 Jerlun,N.04 Ayer Hitam,female,overall,overall,17.3
2021-01-01,Kedah,P.005 Jerlun,N.04 Ayer Hitam,male,overall,overall,17.0
2022-01-01,Kedah,P.005 Jerlun,N.04 Ayer Hitam,both,overall,overall,34.7
2022-01-01,Kedah,P.005 Jerlun,N.04 Ayer Hitam,both,overall,citizen,34.4
2022-01-01,Kedah,P.005 Jerlun,N.04 Ayer Hitam,both,overall,noncitizen,0.2
2022-01-01,Kedah,P.005 Jerlun,N.04 Ayer Hitam,female,overall,overall,17.5
2022-01-01,Kedah,P.005 Jerlun,N.04 Ayer Hitam,male,overall,overall,17.2
2020-01-01,Kedah,P.006 Kubang Pasu,N.05 Bukit Kayu Hitam,both,overall,overall,76.577
2020-01-01,Kedah,P.006 Kubang Pasu,N.05 Bukit Kayu Hitam,both,overall,citizen,72.567
2020-01-01,Kedah,P.006 Kubang Pasu,N.05 Bukit Kayu Hitam,both,overall,noncitizen,4.01
2020-01-01,Kedah,P.006 Kubang Pasu,N.05 Bukit Kayu Hitam,female,overall,overall,39.645
2020-01-01,Kedah,P.006 Kubang Pasu,N.05 Bukit Kayu Hitam,male,overall,overall,36.932
2021-01-01,Kedah,P.006 Kubang Pasu,N.05 Bukit Kayu Hitam,both,overall,overall,77.3
2021-01-01,Kedah,P.006 Kubang Pasu,N.05 Bukit Kayu Hitam,both,overall,citizen,73.5
2021-01-01,Kedah,P.006 Kubang Pasu,N.05 Bukit Kayu Hitam,both,overall,noncitizen,3.8
2021-01-01,Kedah,P.006 Kubang Pasu,N.05 Bukit Kayu Hitam,female,overall,overall,40.1
2021-01-01,Kedah,P.006 Kubang Pasu,N.05 Bukit Kayu Hitam,male,overall,overall,37.2
2022-01-01,Kedah,P.006 Kubang Pasu,N.05 Bukit Kayu Hitam,both,overall,overall,78.0
2022-01-01,Kedah,P.006 Kubang Pasu,N.05 Bukit Kayu Hitam,both,overall,citizen,74.3
2022-01-01,Kedah,P.006 Kubang Pasu,N.05 Bukit Kayu Hitam,both,overall,noncitizen,3.7
2022-01-01,Kedah,P.006 Kubang Pasu,N.05 Bukit Kayu Hitam,female,overall,overall,40.5
2022-01-01,Kedah,P.006 Kubang Pasu,N.05 Bukit Kayu Hitam,male,overall,overall,37.5
2020-01-01,Kedah,P.006 Kubang Pasu,N.06 Jitra,both,overall,overall,94.798
2020-01-01,Kedah,P.006 Kubang Pasu,N.06 Jitra,both,overall,citizen,92.58
2020-01-01,Kedah,P.006 Kubang Pasu,N.06 Jitra,both,overall,noncitizen,2.218
2020-01-01,Kedah,P.006 Kubang Pasu,N.06 Jitra,female,overall,overall,47.334
2020-01-01,Kedah,P.006 Kubang Pasu,N.06 Jitra,male,overall,overall,47.464
